92
0	1060	1	0	0
1536	2558	1	1	1
3072	3594	1	2	2
4096	5079	1	3	3
5120	6113	1	4	4
6144	6951	1	5	5
7168	9124	1	6	6
9216	10059	1	7	7
10240	11375	1	8	8
11776	12419	1	9	9
12800	13550	1	10	10
13824	14359	1	11	11
14848	16841	1	12	12
16896	18025	1	13	13
18432	19569	1	14	14
19968	21989	1	15	15
22016	23034	1	16	16
23040	24169	1	17	17
24576	25315	1	18	18
25600	26343	1	19	19
26624	27745	1	20	20
28160	29182	1	21	21
29696	30718	1	22	22
31232	32387	1	23	23
32768	33289	1	24	24
33792	34783	1	25	25
34816	35089	1	26	26
35328	36350	1	27	27
36864	37137	1	28	28
37376	38396	1	29	29
38400	39535	1	30	30
39936	40460	1	31	31
40960	41482	1	32	32
41984	43119	1	33	33
43520	44542	1	34	34
45056	45699	1	35	35
46080	47216	1	36	36
47616	48257	1	37	37
48640	49242	1	38	38
49664	50185	1	39	39
50688	51710	1	40	40
52224	52865	1	41	41
53248	53520	1	42	42
53760	54752	1	43	43
54784	55427	1	44	44
55808	56341	1	45	45
56832	57853	1	46	46
57856	58849	1	47	47
58880	59723	1	48	48
59904	60923	1	49	49
60928	62051	1	50	50
62464	62984	1	51	51
63488	64594	1	52	52
65024	65546	1	53	53
66048	67190	1	54	54
67584	68933	1	55	55
69120	71141	1	56	56
71168	72189	1	57	57
72192	72727	1	58	58
73216	74209	1	59	59
74240	75375	1	60	60
75776	76615	1	61	61
76800	78790	1	62	62
78848	79983	1	63	63
80384	80919	1	64	64
81408	82429	1	65	65
82432	83549	1	66	66
83968	85026	1	67	67
85504	86274	1	68	68
86528	86801	1	69	69
87040	88072	1	70	70
88576	89112	1	71	71
89600	90623	1	72	72
91136	91628	1	73	73
91648	92431	1	74	74
92672	93209	1	75	75
93696	94737	1	76	76
95232	96254	1	77	77
96768	97261	1	78	78
97280	98022	1	79	79
98304	98840	1	80	80
99328	99821	1	81	81
99840	100858	1	82	82
100864	101890	1	83	83
102400	103142	1	84	84
103424	103946	1	85	85
104448	104990	1	86	86
105472	106493	1	87	87
106496	107367	1	88	88
107520	108543	1	89	89
109056	110078	1	90	90
110592	111096	1	91	91
