92
ERCC-00002	0	1060	1060	1	1	0
ERCC-00003	1536	2558	1060	1	1	1
ERCC-00004	3072	3594	2558	1	1	2
ERCC-00009	4096	5079	3594	1	1	3
ERCC-00012	5120	6113	5079	1	1	4
ERCC-00013	6144	6951	6113	1	1	5
ERCC-00014	7168	9124	6951	1	1	6
ERCC-00016	9216	10059	9124	1	1	7
ERCC-00017	10240	11375	10059	1	1	8
ERCC-00019	11776	12419	11375	1	1	9
ERCC-00022	12800	13550	12419	1	1	10
ERCC-00024	13824	14359	13550	1	1	11
ERCC-00025	14848	16841	14359	1	1	12
ERCC-00028	16896	18025	16841	1	1	13
ERCC-00031	18432	19569	18025	1	1	14
ERCC-00033	19968	21989	19569	1	1	15
ERCC-00034	22016	23034	21989	1	1	16
ERCC-00035	23040	24169	23034	1	1	17
ERCC-00039	24576	25315	24169	1	1	18
ERCC-00040	25600	26343	25315	1	1	19
ERCC-00041	26624	27745	26343	1	1	20
ERCC-00042	28160	29182	27745	1	1	21
ERCC-00043	29696	30718	29182	1	1	22
ERCC-00044	31232	32387	30718	1	1	23
ERCC-00046	32768	33289	32387	1	1	24
ERCC-00048	33792	34783	33289	1	1	25
ERCC-00051	34816	35089	34783	1	1	26
ERCC-00053	35328	36350	35089	1	1	27
ERCC-00054	36864	37137	36350	1	1	28
ERCC-00057	37376	38396	37137	1	1	29
ERCC-00058	38400	39535	38396	1	1	30
ERCC-00059	39936	40460	39535	1	1	31
ERCC-00060	40960	41482	40460	1	1	32
ERCC-00061	41984	43119	41482	1	1	33
ERCC-00062	43520	44542	43119	1	1	34
ERCC-00067	45056	45699	44542	1	1	35
ERCC-00069	46080	47216	45699	1	1	36
ERCC-00071	47616	48257	47216	1	1	37
ERCC-00073	48640	49242	48257	1	1	38
ERCC-00074	49664	50185	49242	1	1	39
ERCC-00075	50688	51710	50185	1	1	40
ERCC-00076	52224	52865	51710	1	1	41
ERCC-00077	53248	53520	52865	1	1	42
ERCC-00078	53760	54752	53520	1	1	43
ERCC-00079	54784	55427	54752	1	1	44
ERCC-00081	55808	56341	55427	1	1	45
ERCC-00083	56832	57853	56341	1	1	46
ERCC-00084	57856	58849	57853	1	1	47
ERCC-00085	58880	59723	58849	1	1	48
ERCC-00086	59904	60923	59723	1	1	49
ERCC-00092	60928	62051	60923	1	1	50
ERCC-00095	62464	62984	62051	1	1	51
ERCC-00096	63488	64594	62984	1	1	52
ERCC-00097	65024	65546	64594	1	1	53
ERCC-00098	66048	67190	65546	1	1	54
ERCC-00099	67584	68933	67190	1	1	55
ERCC-00104	69120	71141	68933	1	1	56
ERCC-00108	71168	72189	71141	1	1	57
ERCC-00109	72192	72727	72189	1	1	58
ERCC-00111	73216	74209	72727	1	1	59
ERCC-00112	74240	75375	74209	1	1	60
ERCC-00113	75776	76615	75375	1	1	61
ERCC-00116	76800	78790	76615	1	1	62
ERCC-00117	78848	79983	78790	1	1	63
ERCC-00120	80384	80919	79983	1	1	64
ERCC-00123	81408	82429	80919	1	1	65
ERCC-00126	82432	83549	82429	1	1	66
ERCC-00130	83968	85026	83549	1	1	67
ERCC-00131	85504	86274	85026	1	1	68
ERCC-00134	86528	86801	86274	1	1	69
ERCC-00136	87040	88072	86801	1	1	70
ERCC-00137	88576	89112	88072	1	1	71
ERCC-00138	89600	90623	89112	1	1	72
ERCC-00142	91136	91628	90623	1	1	73
ERCC-00143	91648	92431	91628	1	1	74
ERCC-00144	92672	93209	92431	1	1	75
ERCC-00145	93696	94737	93209	1	1	76
ERCC-00147	95232	96254	94737	1	1	77
ERCC-00148	96768	97261	96254	1	1	78
ERCC-00150	97280	98022	97261	1	1	79
ERCC-00154	98304	98840	98022	1	1	80
ERCC-00156	99328	99821	98840	1	1	81
ERCC-00157	99840	100858	99821	1	1	82
ERCC-00158	100864	101890	100858	1	1	83
ERCC-00160	102400	103142	101890	1	1	84
ERCC-00162	103424	103946	103142	1	1	85
ERCC-00163	104448	104990	103946	1	1	86
ERCC-00164	105472	106493	104990	1	1	87
ERCC-00165	106496	107367	106493	1	1	88
ERCC-00168	107520	108543	107367	1	1	89
ERCC-00170	109056	110078	108543	1	1	90
ERCC-00171	110592	111096	110078	1	1	91
