92
0	1060	0
0	1022	0
0	522	0
0	983	0
0	993	0
0	807	0
0	1956	0
0	843	0
0	1135	0
0	643	0
0	750	0
0	535	0
0	1993	0
0	1129	0
0	1137	0
0	2021	0
0	1018	0
0	1129	0
0	739	0
0	743	0
0	1121	0
0	1022	0
0	1022	0
0	1155	0
0	521	0
0	991	0
0	273	0
0	1022	0
0	273	0
0	1020	0
0	1135	0
0	524	0
0	522	0
0	1135	0
0	1022	0
0	643	0
0	1136	0
0	641	0
0	602	0
0	521	0
0	1022	0
0	641	0
0	272	0
0	992	0
0	643	0
0	533	0
0	1021	0
0	993	0
0	843	0
0	1019	0
0	1123	0
0	520	0
0	1106	0
0	522	0
0	1142	0
0	1349	0
0	2021	0
0	1021	0
0	535	0
0	993	0
0	1135	0
0	839	0
0	1990	0
0	1135	0
0	535	0
0	1021	0
0	1117	0
0	1058	0
0	770	0
0	273	0
0	1032	0
0	536	0
0	1023	0
0	492	0
0	783	0
0	537	0
0	1041	0
0	1022	0
0	493	0
0	742	0
0	536	0
0	493	0
0	1018	0
0	1026	0
0	742	0
0	522	0
0	542	0
0	1021	0
0	871	0
0	1023	0
0	1022	0
0	504	0
